Coord.X	        Coord.Y
962140.918	1504353.790
962463.373	1504499.561
962786.748	1504511.980
963079.303	1504490.988
963361.255	1504499.741
963672.705	1504568.607
963986.266	1504629.427
964295.385	1504701.103
964591.499	1504751.967
964891.455	1504834.683
965204.382	1504932.850
965494.768	1505018.604
965791.857	1505040.190
966059.979	1505217.604
966332.053	1505426.977
966623.691	1505638.124
966840.684	1505863.322
967049.634	1506123.453
967227.969	1506401.000
967413.146	1506771.616
967549.397	1507085.681
967791.942	1507488.457
967970.056	1507915.455
968155.804	1508299.277
968246.583	1508623.438
968345.784	1508973.808
968424.243	1509295.844
968531.356	1509605.817
968614.875	1509932.874
968683.700	1510305.991
968820.418	1510678.729
968951.255	1510979.738
969253.804	1511419.812
969467.376	1511826.480
969673.224	1512121.412
969902.088	1512492.672
970176.917	1512808.660
970405.298	1513067.832
970566.271	1513338.168
970776.347	1513670.255
970930.469	1513951.489
971148.868	1514355.254
971298.658	1514647.340
971441.080	1514934.430
971548.424	1515249.808
971706.130	1515605.572
971875.269	1515894.086
972062.290	1516200.524
972246.481	1516448.414
972454.463	1516890.027
972636.510	1517193.980
972857.268	1517496.269
973062.158	1517772.590
973265.220	1518059.607
973496.365	1518273.422
973720.101	1518484.802
973962.111	1518724.774
974389.918	1518991.209
974687.216	1519116.692
974958.113	1519248.630
975241.949	1519347.987
975520.395	1519383.729
975856.556	1519459.367
976134.900	1519494.988
976430.336	1519529.853
976725.199	1519554.171
977048.799	1519622.450
977349.650	1519721.024
977683.290	1519844.926
977962.750	1519952.538
978258.622	1520048.739
978574.834	1520114.670
978899.941	1520212.235
979191.898	1520327.275
979515.154	1520438.201
979860.236	1520548.178
980141.842	1520701.078
980431.903	1520725.400
980731.998	1520706.743
981057.722	1520614.913
981360.910	1520561.390
981673.011	1520438.215
981947.187	1520335.273
982312.323	1520204.354
982614.825	1520084.220
982991.061	1519984.778
983310.180	1520007.865
983613.331	1520002.325
983935.965	1519998.657
984225.321	1519959.112
984532.695	1519990.725
984846.049	1520046.132
985166.275	1520042.595
985463.712	1520119.952
985729.124	1520289.616
985995.606	1520480.371
986250.293	1520629.093
986518.899	1520763.767
986784.123	1520877.376
987060.056	1521014.473
987340.315	1521188.611
987636.605	1521292.745
987983.862	1521397.400
988303.350	1521428.499
988620.319	1521507.664
988897.642	1521572.658
989199.897	1521599.161
989489.949	1521572.961
989779.089	1521528.093
990118.343	1521515.658
990413.533	1521497.130
990695.258	1521449.937
991000.302	1521382.962
991282.364	1521293.059
991582.677	1521178.354
991908.645	1521041.155
992251.152	1520945.777
992593.574	1520898.542
992905.011	1520863.321
993217.032	1520790.727
993538.384	1520709.727
993985.296	1520665.863
994369.688	1520582.001
994663.635	1520536.957
995009.270	1520508.179
995359.179	1520415.267
995657.370	1520356.553
995936.983	1520266.722
996218.687	1520168.840
996513.296	1520137.088
996830.210	1520165.620
997119.240	1520168.762
997450.633	1520196.561
997508.755	1520194.028
997667.977	1520424.301
997897.710	1520659.362
998119.571	1520929.592
998331.826	1521205.449
998545.611	1521510.622
998756.815	1521762.583
998970.436	1522014.383
999240.851	1522186.396
999541.754	1522335.700
999835.736	1522442.544
1000142.645	1522564.928
1000399.759	1522710.699
1000632.734	1522911.081
1000835.733	1523195.413
1000971.131	1523536.055
1001083.781	1523859.006
1001176.451	1524169.546
1001344.459	1524631.411
1001472.960	1524980.403
1001568.555	1525301.443
1001670.908	1525662.270
1001819.083	1526015.654
1001987.324	1526333.531
1002162.059	1526635.043
1002371.787	1526855.062
1002576.290	1527168.676
1002813.764	1527411.393
1003126.546	1527656.117
1003369.603	1527863.919
1003654.900	1528040.444
1003982.066	1528079.203
1004272.728	1528066.294
1004595.552	1528065.209
1004965.319	1527981.947
1005292.206	1527914.069
1005680.386	1527808.758
1005973.455	1527795.657
1006274.863	1527742.348
1006572.888	1527683.677
1006941.596	1527764.505
1007216.667	1527691.410
1007531.074	1527519.073
1007789.388	1527345.447
1008077.244	1527177.649
1008300.808	1526960.966
1008530.162	1526757.151
1008760.771	1526537.319
1009042.364	1526348.518
1009330.282	1526215.572
1009650.084	1526085.737
1009955.776	1525962.296
1010247.518	1525815.706
1010564.542	1525645.800
1010840.474	1525481.641
1011148.018	1525349.911
1011438.766	1525256.969
1011767.282	1525147.903
1012107.680	1525102.228
1012384.569	1525021.004
1012707.365	1524968.580
1013021.223	1524927.444
1013317.763	1524917.105
1013614.299	1524941.534
1013920.752	1525037.509
1014238.902	1525092.463
1014516.779	1525059.394
1014873.436	1525036.643
1015299.299	1524995.658
1015581.098	1524983.587
1015852.388	1525098.155
1016136.454	1525292.100
1016404.724	1525468.490
1016579.758	1525739.834
1016772.587	1526020.684
1017016.932	1526238.897
1017315.578	1526327.419
1017613.507	1526370.516
1017919.885	1526327.221
1018246.705	1526229.060
1018574.422	1526106.645
1018834.131	1525954.241
1019044.944	1525695.564
1019214.977	1525343.446
1019233.702	1524985.996
1019249.387	1524655.496
1019413.369	1524389.479
1019715.080	1524384.021
1019991.910	1524439.301
1020270.707	1524523.865
1020576.516	1524644.058
1020871.053	1524572.189
1021131.145	1524355.521
1021344.584	1524099.302
1021484.667	1523805.557
1021698.433	1523519.886
1021901.236	1523285.881
1022150.001	1523013.780
1022399.416	1522784.543
1022721.819	1522761.583
1022999.216	1522894.455
1023265.980	1523014.665
1023598.397	1523132.892
1023896.179	1523141.219
1024191.801	1523117.472
1024489.681	1523023.907
1024833.524	1522854.904
1025118.398	1522679.284
1025414.982	1522532.291
1025721.817	1522357.851
1025979.683	1522144.027
1026173.966	1521859.709
1026415.716	1521625.566
1026765.769	1521683.690
1027055.643	1521751.452
1027334.117	1521865.452
1027591.199	1522021.131
1027830.002	1522194.324
1028079.962	1522559.347
1028236.188	1522874.883
1028437.393	1523136.316
1028606.964	1523466.990
1028606.411	1523839.175
1028557.066	1524174.767
1028671.681	1524487.871
1028847.051	1524796.630
1028999.356	1525091.013
1029206.389	1525330.637
1029512.282	1525453.440
1029819.478	1525525.326
1030124.032	1525455.393
1030442.508	1525376.486
1030746.057	1525293.233
1030989.896	1525088.427
1031233.774	1524851.514
1031493.106	1524693.791
1031753.116	1524511.945
1032026.857	1524385.332
1032316.772	1524351.349
1032611.871	1524389.231
1032894.624	1524494.930
1033167.598	1524633.386
1033467.920	1524780.678
1033734.578	1525002.705
1033937.093	1525143.493
1034194.926	1525379.486
1034450.954	1525588.847
1034734.653	1525844.352
1034994.921	1526080.162
1035238.275	1526282.347
1035511.572	1526426.203
1035790.651	1526548.147
1036069.245	1526696.983
1036380.058	1526819.429
1036657.242	1526914.855
1036940.569	1526993.693
1037223.352	1527064.538
1037553.101	1527110.661
1037846.673	1527162.035
1038184.481	1527218.177
1038511.227	1527221.689
1038833.099	1527190.754
1039110.824	1527154.805
1039437.754	1527160.958
1039728.505	1527001.068
1039932.721	1526753.590
1040159.492	1526480.374
1040392.782	1526265.670
1040634.651	1525999.436
1040859.558	1525804.020
1041120.750	1525672.870
1041441.475	1525556.362
1041754.173	1525568.787
1042072.898	1525596.961
1042397.397	1525603.333
1042647.652	1525764.809
1042778.431	1526063.332
1042815.803	1526384.655
1042883.578	1526722.499
1042795.911	1527066.115
1042615.960	1527381.396
1042456.746	1527644.433
1042219.151	1527902.372
1041951.484	1528079.449
1041697.516	1528276.864
1041439.173	1528482.712
1041285.478	1528756.053
1041183.230	1529065.872
1041189.448	1529429.550
1041285.366	1529786.737
1041503.382	1530146.028
1041719.724	1530414.378
1041963.985	1530594.991
1042268.692	1530733.896
1042545.889	1530829.214
1042869.090	1530953.471
1043190.968	1530992.104
1043517.837	1531065.160
1043856.210	1531129.279
1044155.415	1531225.734
1044427.633	1531318.801
1044768.621	1531385.510
1045087.074	1531443.063
1045397.252	1531522.692
1045672.839	1531593.993
1046030.062	1531547.110
1046330.589	1531522.956
1046777.973	1531509.859
1047060.548	1531543.209
1047356.598	1531559.578
1047652.356	1531573.173
1047945.241	1531613.936
1048254.708	1531682.858
1048542.720	1531793.486
1048814.588	1531915.922
1049103.553	1532005.078
1049377.866	1531921.271
1049744.654	1531870.968
1050050.984	1531758.079
1050340.700	1531651.796
1050642.932	1531549.875
1050898.536	1531373.718
1051206.951	1531324.853
1051520.526	1531382.842
1051765.027	1531566.191
1052084.017	1531865.910
1052161.511	1531968.816
1052306.452	1532191.370
1052484.510	1532467.799
1052627.663	1532768.035
1052778.519	1533107.971
1052839.268	1533448.907
1052868.286	1533789.477
1052780.012	1534125.022
1052703.341	1534451.735
1052651.434	1534784.642
1052568.072	1535119.840
1052465.416	1535424.390
1052477.803	1535771.448
1052460.878	1536115.301
1052575.097	1536420.312
1052800.444	1536642.403
1053041.857	1536884.890
1053314.927	1537092.854
1053563.333	1537262.523
1053878.807	1537277.426
1054200.515	1537243.753
1054497.540	1537171.665
1054813.299	1537157.110
1055111.608	1537170.621
1055454.007	1537154.206
1055764.947	1537140.081
1056107.803	1537163.738
1056385.886	1537133.161
1056727.536	1537140.839
1057024.924	1537175.888
1057353.658	1537289.917
1057624.920	1537150.952
1057912.398	1536957.596
1058083.828	1536696.255
1058217.681	1536378.336
1058146.281	1536034.219
1058301.895	1535727.223
1058485.606	1535477.228
1058563.144	1535129.723
1058463.578	1534796.049
1058377.589	1534445.497
1058316.595	1534066.574
1058329.487	1533736.467
1058319.352	1533391.795
1058332.520	1533067.131
1058337.794	1532732.083
1058330.622	1532395.224
1058322.539	1532042.378
1058294.624	1531610.553
1058261.367	1531283.409
1058258.291	1530932.884
1058257.089	1530536.756
1058254.836	1530199.542
1058270.231	1529834.468
1058344.499	1529436.222
1058456.975	1529102.533
1058627.908	1528805.246
1058853.843	1528568.671
1059108.078	1528354.427
1059375.026	1528147.434
1059621.642	1527928.362
1059878.081	1527711.274
1060131.645	1527486.354
1060315.873	1527244.401
1060541.866	1527007.904
1060765.516	1526774.125
1060890.163	1526477.118
1061139.933	1526081.127
1061309.663	1525802.599
1061443.561	1525499.585
1061598.714	1525222.067
1061781.686	1524961.446
1062014.755	1524759.198
1062235.673	1524520.342
1062490.726	1524281.889
1062683.159	1523977.907
1062887.442	1523745.434
1063191.691	1523287.075
1063372.202	1522951.574
1063486.099	1522639.223
1063572.050	1522309.749
1063629.513	1521955.396
1063723.440	1521598.725
1063844.919	1521291.183
1063965.555	1520970.204
1064064.477	1520653.417
1064191.506	1520318.727
1064275.198	1519992.069
1064390.625	1519666.209
1064553.439	1519396.119
1064781.847	1519159.350
1065008.390	1518970.981
1065297.371	1518805.449
1065606.855	1518692.099
1065890.441	1518593.702
1066205.020	1518522.903
1066533.986	1518523.440
1066823.619	1518518.471
1067109.079	1518524.490
1067396.770	1518565.129
1067701.907	1518650.133
1068007.072	1518810.158
1068298.238	1518979.068
1068507.695	1519241.538
1068635.621	1519562.777
1068761.319	1519886.730
1068906.793	1520214.873
1069061.366	1520531.672
1069264.847	1520890.973
1069461.809	1521148.836
1069607.295	1521439.513
1069788.875	1521722.414
1069986.236	1521985.705
1070247.690	1522185.860
1070501.540	1522343.859
1070747.324	1522526.264
1071013.151	1522680.736
1071305.251	1522865.685
1071549.764	1523067.012
1071740.035	1523370.789
1071904.426	1523689.647
1072126.360	1523994.211
1072339.489	1524312.648
1072482.257	1524598.012
1072678.691	1524922.856
1072865.927	1525218.800
1073066.338	1525679.903
1073238.012	1526185.714
1073330.430	1526522.532
1073453.253	1526951.064
1073561.629	1527270.704
1073694.900	1527596.839
1073872.249	1527890.785
1074133.271	1528045.534
1074410.627	1528001.172
1074730.375	1527895.194
1075012.608	1527775.575
1075292.879	1527664.000
1075589.136	1527572.919
1075906.083	1527461.762
1076188.762	1527350.115
1076499.448	1527330.339
1076877.257	1527333.137
1077180.418	1527311.205
1077498.702	1527408.692
1077718.561	1527718.661
1077830.095	1528161.330
1077864.694	1528507.100
1077895.965	1528877.177
1078059.434	1529217.532
1078159.856	1529564.445
1078258.088	1529951.636
1078371.408	1530270.995
1078513.949	1530553.742
1078705.807	1530844.036
1079023.157	1531078.093
1079304.442	1531244.921
1079560.661	1531400.031
1079882.553	1531478.602
1080205.322	1531495.463
1080487.072	1531517.791
1080775.457	1531606.514
1081094.406	1531602.230
1081421.167	1531605.525
1081756.054	1531659.177
1082058.842	1531744.293
1082257.412	1531873.569
1082436.241	1532151.252
1082545.529	1532521.800
1082648.627	1532833.709
1082671.438	1533185.518
1082726.865	1533551.402
1082867.665	1533842.246
1083072.518	1534107.595
1083299.598	1534301.928
1083562.170	1534622.936
1083741.942	1534975.536
1083880.905	1535258.588
1084050.909	1535571.756
1084187.202	1535889.531
1084337.064	1536190.639
1084511.889	1536463.451
1084706.486	1536700.310
1084957.745	1536909.870
1085164.927	1537194.085
1085350.820	1537447.488
1085561.221	1537664.717
1085793.935	1537888.724
1086036.003	1538066.707
1086295.228	1538208.922
1086579.159	1538314.947
1086878.525	1538436.146
1087188.369	1538529.961
1087517.098	1538654.630
1087764.222	1538835.014
1087964.609	1539127.698
1088176.669	1539371.516
1088367.878	1539672.757
1088557.492	1539947.361
1088600.439	1540289.315
1088549.964	1540695.743
1088424.301	1540986.373
1088261.016	1541297.945
1088095.171	1541569.580
1087951.538	1541845.206
1087868.557	1542197.427
1087658.144	1542415.606
1087395.162	1542570.091
1087131.206	1542788.830
1086944.234	1543072.300
1086801.801	1543366.659
1086827.256	1543741.705
1087016.221	1544005.659
1087320.586	1544089.162
1087640.138	1544102.155
1087905.593	1543987.608
1088194.603	1543820.794
1088520.145	1543654.616
1088802.562	1543498.957
1089091.093	1543444.368
1089414.306	1543398.456
1089730.943	1543483.823
1090033.525	1543537.980
1090344.548	1543570.248
1090643.866	1543611.255
1090962.020	1543522.880
1091231.719	1543397.389
1091540.955	1543322.897
1091828.113	1543284.517
1092126.003	1543381.646
1092272.554	1543706.840
1092392.714	1544038.927
1092470.614	1544394.855
1092643.717	1544678.487
1092844.401	1544933.622
1093108.306	1545110.262
1093430.170	1545240.761
1093719.247	1545391.862
1094016.576	1545518.412
1094321.728	1545732.652
1094526.376	1546014.223
1094753.223	1546259.893
1094986.271	1546489.066
1095250.371	1546708.444
1095539.339	1546659.171
1095866.704	1546759.920
1096172.306	1546704.323
1096504.261	1546681.939
1096793.801	1546643.416
1097085.186	1546594.057
1097396.234	1546588.855
1097671.531	1546396.226
1097507.840	1546069.419
1097266.698	1545867.373
1097032.573	1545622.262
1096946.516	1545290.783
1097053.551	1544974.578
1097359.282	1544764.173
1097599.334	1544592.217
1097991.926	1544488.795
1098316.720	1544429.442
1098564.463	1544184.933
1098691.557	1543878.308
1098819.398	1543584.885
1099105.069	1543482.401
1099379.229	1543391.327
1099660.884	1543342.498
1100005.237	1543324.718
1100288.291	1543219.727
1100624.185	1543143.703
1100902.183	1543193.959
1101186.134	1543299.945
1101484.300	1543519.906
1101781.963	1543651.750
1102086.531	1543737.857
1102358.415	1543847.253
1102665.716	1543898.379
1102963.305	1544030.323
1102958.715	1544388.467
1103124.357	1544707.181
1103416.834	1544833.905
1103615.959	1545105.185
1103677.301	1545467.499
1103788.937	1545778.721
1103966.517	1546053.880
1104158.104	1546360.347
1104249.242	1546694.095
1104353.358	1547000.388
1104518.857	1547316.413
1104713.984	1547561.217
1105004.956	1547741.504
1105255.440	1547897.517
1105567.621	1548028.464
1105863.010	1548123.067
1106162.682	1548169.329
1106431.633	1547993.166
1106720.862	1547831.688
1106978.386	1547666.807
1107246.027	1547549.328
1107538.977	1547486.516
1107816.059	1547443.342
1108095.943	1547405.306
1108404.531	1547397.620
1108660.961	1547588.959
1108959.789	1547612.437
1109211.345	1547807.495
1109391.870	1548106.097
1109377.643	1548481.438
1109648.935	1548605.631
1109939.182	1548758.088
1110153.071	1549009.013
1110347.252	1549255.904
1110479.378	1549560.224
1110593.829	1549892.574
1110788.702	1550187.545
1110937.375	1550482.744
1111123.175	1550751.628
1111324.729	1551000.638
1111577.532	1551249.046
1111735.321	1551535.778
1111973.632	1551750.353
1112218.526	1551953.861
1112407.927	1552203.627
1112621.517	1552449.295
1112792.277	1552710.997
1112999.301	1552967.719
1113239.288	1553171.452
1113539.611	1553328.565
1113803.682	1553453.323
1114084.768	1553576.834
1114401.944	1553767.695
1114632.774	1553979.980
1114944.059	1554155.099
1115178.199	1554380.622
1115476.914	1554513.744
1115769.727	1554593.811
1116075.102	1554643.649
1116490.230	1554694.394
1116819.974	1554742.551
1117104.626	1554700.059
1117358.199	1554517.990
1117582.322	1554260.059
1117721.918	1553938.211
1117785.696	1553613.200
1117943.280	1553343.630
1118144.387	1553106.091
1118405.726	1552893.895
1118700.120	1552850.887
1119008.262	1552868.373
1119296.295	1552876.516
1119593.978	1552846.621
1119887.970	1552798.155
1120180.529	1552763.278
1120521.257	1552610.202
1120825.352	1552494.232
1121045.770	1552290.227
1121147.456	1551949.378
1121243.615	1551598.120
1121314.366	1551267.331
1121575.203	1550975.106
1121839.614	1550848.310
1122118.339	1550715.339
1122348.276	1550507.932
1122641.625	1550301.779
1122892.448	1550117.125
1123217.779	1550026.626
1123503.323	1549997.429
1123771.988	1549897.143
1124068.446	1549848.642
1124354.150	1549784.648
1124630.778	1549732.017
1124936.376	1549637.471
1125214.204	1549528.575
1125415.410	1549256.141
1125521.418	1548907.011
1125594.178	1548570.686
1125630.659	1548202.036
1125636.471	1547811.228
1125653.062	1547473.232
1125670.890	1547116.420
1125678.950	1546760.211
1125690.171	1546377.020
1125753.346	1546044.060
1125934.246	1545722.166
1126133.103	1545487.320
1126382.959	1545324.057
1126656.193	1545146.035
1126936.814	1545117.129
1127244.829	1545206.905
1127472.360	1545406.135
1127681.501	1545657.424
1127732.998	1545993.651
1127862.108	1546324.941
1127993.836	1546658.710
1128195.158	1546902.428
1128473.907	1547066.213
1128740.102	1547222.899
1128991.296	1547447.327
1129279.990	1547503.490
1129622.483	1547599.033
1129947.718	1547727.713
1130253.582	1547895.151
1130534.015	1547898.412
1130817.659	1547767.809
1131047.301	1547520.271
1131319.595	1547438.529
1131654.953	1547390.125
1131919.008	1547514.702
1132126.229	1547774.096
1132310.477	1548053.685
1132545.024	1548284.525
1132825.983	1548517.723
1133175.562	1548462.996
1133449.239	1548327.623
1133722.358	1548149.490
1133998.588	1547979.260
1134232.445	1547795.668
1134483.659	1547653.688
1134771.616	1547514.782
1135064.791	1547380.829
1135360.201	1547316.247
1135691.078	1547310.883
1135966.503	1547386.633
1136250.671	1547483.241
1136558.373	1547605.066
1136844.630	1547733.603
1137127.748	1547889.118
1137439.111	1547992.046
1137749.647	1548009.321
1138057.085	1547906.577
1138381.759	1547770.555
1138696.299	1547702.037
1139000.683	1547626.247
1139307.082	1547654.501
1139590.722	1547708.406
1139907.555	1547784.129
1140220.037	1547902.966
1140527.647	1547949.943
1140831.470	1547940.912
1141163.098	1547908.742
1141449.001	1547775.327
1141757.188	1547720.596
1142031.168	1547627.951
1142204.797	1547641.912
1142512.480	1547759.899
1142792.239	1547937.078
1143076.446	1548071.005
1143396.661	1548125.236
1143674.573	1548200.778
1144017.091	1548333.681
1144305.756	1548462.017
1144573.966	1548647.939
1144764.394	1548948.436
1144915.059	1549235.403
1145142.028	1549570.942
1145398.383	1549762.970
1145724.256	1549864.875
1146056.733	1549846.027
1146371.803	1549785.455
1146676.013	1549706.970
1146987.151	1549660.054
1147289.743	1549595.053
1147588.807	1549514.144
1147878.832	1549369.719
1148161.198	1549220.398
1148426.949	1549077.556
1148716.350	1548959.906
1148979.466	1548814.464
1149262.193	1548780.108
1149580.956	1548775.476
1149904.042	1548834.821
1150179.500	1548910.550
1150409.423	1549144.267
1150617.399	1549414.181
1150996.576	1549584.864
1151291.894	1549629.881
1151595.778	1549583.418
1151899.458	1549643.957
1152223.179	1549604.240
1152530.483	1549683.215
1152818.565	1549656.532
1153131.522	1549636.332
1153424.730	1549577.151
1153651.378	1549359.260
1153735.246	1549046.465
1153742.375	1548714.478
1153665.733	1548369.179
1153607.320	1548041.454
1153567.124	1547693.739
1153598.319	1547357.594
1153588.120	1546949.104
1153704.786	1546652.886
1153973.166	1546549.863
1154242.761	1546465.582
1154531.590	1546412.172
1154860.304	1546556.585
1155181.660	1546591.876
1155469.898	1546602.691
1155892.580	1546366.737
1156076.147	1546087.515
1156241.478	1545828.049
1156453.339	1545608.545
1156623.485	1545311.372
1156804.799	1544997.530
1157080.162	1544816.571
1157393.003	1544724.175
1157668.364	1544872.006
1157929.280	1545095.832
1158155.250	1545305.678
1158375.316	1545574.820
1158658.538	1545658.068
1159016.520	1545628.267
1159302.220	1545762.604
1159599.712	1545930.812
1159886.916	1546014.313
1160221.418	1546001.511
1160515.699	1545855.222
1160675.095	1545538.700
1160754.940	1545232.424
1160747.364	1544888.847
1160574.394	1544616.956
1160363.162	1544355.308
1160220.500	1544065.520
1160172.872	1543740.455
1160203.559	1543386.510
1160261.837	1543046.859
1160441.741	1542747.718
1160732.338	1542620.306
1161007.123	1542736.604
1161287.187	1542935.309
1161525.801	1543208.471
1161752.042	1543477.105
1162011.089	1543687.752
1162297.897	1543840.562
1162575.549	1543964.755
1162925.480	1544079.002
1163225.817	1544252.394
1163479.046	1544449.967
1163655.000	1544729.740
1163823.202	1545001.962
1164100.377	1545118.137
